"Prediccion","Referencia","Porcentaje","Modelo","Nombre"
"GTEX Brain","GTEX Brain",89.88,"Quadratic Discriminant Analysis","Modelo 1"
"GTEX Brain","TCGA LGG",5.41,"Quadratic Discriminant Analysis","Modelo 1"
"GTEX Brain","TCGA GM",2.14,"Quadratic Discriminant Analysis","Modelo 1"
"TCGA LGG","GTEX Brain",8.57,"Quadratic Discriminant Analysis","Modelo 1"
"TCGA LGG","TCGA LGG",87.34,"Quadratic Discriminant Analysis","Modelo 1"
"TCGA LGG","TCGA GM",25.27,"Quadratic Discriminant Analysis","Modelo 1"
"TCGA GM","GTEX Brain",1.55,"Quadratic Discriminant Analysis","Modelo 1"
"TCGA GM","TCGA LGG",7.25,"Quadratic Discriminant Analysis","Modelo 1"
"TCGA GM","TCGA GM",72.59,"Quadratic Discriminant Analysis","Modelo 1"
"GTEX Brain","GTEX Brain",91.06,"Quadratic Discriminant Analysis","Modelo 2"
"GTEX Brain","TCGA LGG",9.68,"Quadratic Discriminant Analysis","Modelo 2"
"GTEX Brain","TCGA GM",3.49,"Quadratic Discriminant Analysis","Modelo 2"
"TCGA LGG","GTEX Brain",7.23,"Quadratic Discriminant Analysis","Modelo 2"
"TCGA LGG","TCGA LGG",77.55,"Quadratic Discriminant Analysis","Modelo 2"
"TCGA LGG","TCGA GM",13.37,"Quadratic Discriminant Analysis","Modelo 2"
"TCGA GM","GTEX Brain",1.71,"Quadratic Discriminant Analysis","Modelo 2"
"TCGA GM","TCGA LGG",12.76,"Quadratic Discriminant Analysis","Modelo 2"
"TCGA GM","TCGA GM",83.13,"Quadratic Discriminant Analysis","Modelo 2"
