"Prediccion","Referencia","Porcentaje","Modelo","Nombre"
"GTEX Brain","GTEX Brain",88.41,"Multinomial Logistic Regression","Modelo 1"
"GTEX Brain","TCGA LGG",4.49,"Multinomial Logistic Regression","Modelo 1"
"GTEX Brain","TCGA GM",4.04,"Multinomial Logistic Regression","Modelo 1"
"TCGA LGG","GTEX Brain",10.58,"Multinomial Logistic Regression","Modelo 1"
"TCGA LGG","TCGA LGG",89.25,"Multinomial Logistic Regression","Modelo 1"
"TCGA LGG","TCGA GM",29.97,"Multinomial Logistic Regression","Modelo 1"
"TCGA GM","GTEX Brain",1.01,"Multinomial Logistic Regression","Modelo 1"
"TCGA GM","TCGA LGG",6.25,"Multinomial Logistic Regression","Modelo 1"
"TCGA GM","TCGA GM",65.99,"Multinomial Logistic Regression","Modelo 1"
"GTEX Brain","GTEX Brain",89.13,"Multinomial Logistic Regression","Modelo 2"
"GTEX Brain","TCGA LGG",4.15,"Multinomial Logistic Regression","Modelo 2"
"GTEX Brain","TCGA GM",3.34,"Multinomial Logistic Regression","Modelo 2"
"TCGA LGG","GTEX Brain",10.09,"Multinomial Logistic Regression","Modelo 2"
"TCGA LGG","TCGA LGG",89.3,"Multinomial Logistic Regression","Modelo 2"
"TCGA LGG","TCGA GM",29.34,"Multinomial Logistic Regression","Modelo 2"
"TCGA GM","GTEX Brain",0.78,"Multinomial Logistic Regression","Modelo 2"
"TCGA GM","TCGA LGG",6.55,"Multinomial Logistic Regression","Modelo 2"
"TCGA GM","TCGA GM",67.32,"Multinomial Logistic Regression","Modelo 2"
