"ID1","TrainClase1","TrainClase2","TrainGlobal","TestClase1","TestClase2","TestGlobal","Modelo","Nombre"
"Repeat01",95.6458,86.3974,92.9528,95.2132,86.5726,92.6946,"Linear Discriminant Analysis","LDA 1"
"Repeat02",95.4648,86.7494,92.9272,95.2154,85.514,92.3938,"Linear Discriminant Analysis","LDA 1"
"Repeat03",95.6458,86.483,92.9782,95.21,86.228,92.5926,"Linear Discriminant Analysis","LDA 1"
"Repeat04",95.5732,86.7488,93.0044,94.9184,85.8646,92.2834,"Linear Discriminant Analysis","LDA 1"
"Repeat05",95.537,86.5724,92.9268,95.0652,85.8586,92.3864,"Linear Discriminant Analysis","LDA 1"
"Repeat06",95.392,86.9234,92.9264,95.067,85.47,92.2812,"Linear Discriminant Analysis","LDA 1"
"Repeat07",95.428,87.0154,92.9786,95.5018,85.1628,92.4912,"Linear Discriminant Analysis","LDA 1"
"Repeat08",95.3554,86.6594,92.8238,95.0672,85.1378,92.1776,"Linear Discriminant Analysis","LDA 1"
"Repeat09",95.4282,86.4848,92.824,95.063,86.228,92.489,"Linear Discriminant Analysis","LDA 1"
"Repeat10",95.5734,86.1308,92.8238,94.7764,86.5602,92.3828,"Linear Discriminant Analysis","LDA 1"
"Repeat11",95.4282,86.663,92.8758,94.9234,85.5012,92.1856,"Linear Discriminant Analysis","LDA 1"
"Repeat12",95.4644,86.3062,92.7982,95.0642,86.1904,92.4868,"Linear Discriminant Analysis","LDA 1"
"Repeat13",95.6094,86.5726,92.9782,95.211,86.579,92.6956,"Linear Discriminant Analysis","LDA 1"
"Repeat14",95.5368,86.4808,92.9006,95.5,85.8208,92.6884,"Linear Discriminant Analysis","LDA 1"
"Repeat15",95.5732,86.3966,92.901,95.354,85.5012,92.4846,"Linear Discriminant Analysis","LDA 1"
"Repeat16",95.2832,86.7504,92.7984,95.067,85.169,92.1828,"Linear Discriminant Analysis","LDA 1"
"Repeat17",95.6456,86.661,93.0298,95.0654,87.2684,92.7996,"Linear Discriminant Analysis","LDA 1"
"Repeat18",95.501,86.4848,92.8756,95.2132,86.1902,92.5916,"Linear Discriminant Analysis","LDA 1"
"Repeat19",95.5372,86.3948,92.8756,94.9214,85.5262,92.1836,"Linear Discriminant Analysis","LDA 1"
"Repeat20",95.4646,86.6612,92.9014,95.502,85.4948,92.592,"Linear Discriminant Analysis","LDA 1"
"Repeat01",97.8596,75.618,91.3838,97.5352,73.8596,90.6384,"Linear Discriminant Analysis","LDA 2"
"Repeat02",97.932,75.7964,91.4866,97.9698,74.5552,91.1542,"Linear Discriminant Analysis","LDA 2"
"Repeat03",97.8596,75.5288,91.3578,97.8252,75.6016,91.3564,"Linear Discriminant Analysis","LDA 2"
"Repeat04",97.9318,75.1776,91.3068,97.8228,75.6454,91.3626,"Linear Discriminant Analysis","LDA 2"
"Repeat05",97.8592,75.5284,91.3578,97.969,74.881,91.2522,"Linear Discriminant Analysis","LDA 2"
"Repeat06",97.8956,75.087,91.2552,97.8238,75.94,91.4586,"Linear Discriminant Analysis","LDA 2"
"Repeat07",97.8956,75.7078,91.4354,97.9676,74.2166,91.0516,"Linear Discriminant Analysis","LDA 2"
"Repeat08",97.932,75.617,91.435,97.679,75.5952,91.2528,"Linear Discriminant Analysis","LDA 2"
"Repeat09",97.9318,75.618,91.435,97.9678,74.8996,91.2546,"Linear Discriminant Analysis","LDA 2"
"Repeat10",97.859,75.441,91.3322,97.678,75.6264,91.2532,"Linear Discriminant Analysis","LDA 2"
"Repeat11",97.9682,75.6158,91.4606,97.8228,75.5826,91.3574,"Linear Discriminant Analysis","LDA 2"
"Repeat12",97.932,75.3522,91.358,97.678,74.881,91.0476,"Linear Discriminant Analysis","LDA 2"
"Repeat13",97.9316,75.707,91.461,97.824,74.8934,91.152,"Linear Discriminant Analysis","LDA 2"
"Repeat14",97.8954,75.881,91.4864,97.6768,74.524,90.9416,"Linear Discriminant Analysis","LDA 2"
"Repeat15",98.0406,75.705,91.5378,97.8206,74.8744,91.1444,"Linear Discriminant Analysis","LDA 2"
"Repeat16",97.8956,75.618,91.4094,97.825,75.2692,91.2576,"Linear Discriminant Analysis","LDA 2"
"Repeat17",97.9318,75.2652,91.3324,97.9656,74.5488,91.1526,"Linear Discriminant Analysis","LDA 2"
"Repeat18",98.0408,75.4416,91.4608,97.68,75.2696,91.1558,"Linear Discriminant Analysis","LDA 2"
"Repeat19",97.8956,75.6184,91.4094,97.824,74.5616,91.0498,"Linear Discriminant Analysis","LDA 2"
"Repeat20",97.8232,75.8836,91.4352,97.9698,75.614,91.4618,"Linear Discriminant Analysis","LDA 2"
